Pl,Score,Dist,Time,Cat,Num,Names,Tags,M,MV,MS,W,WV,WS,WU,X,XV,F,MY,WY,XY,Lodge
1,870,0,4:54:25,X,70,"Duncan Currie, Molly Lilley, Jasmine Burton, Will Maxwell",AOCQ APCQ,,,,,,,,1,,,,,,N
2,850,0,4:51:01,MY,71,"Toby Hauber, Hamish Robertson, Nicholas Brennan",AQCQ ARCQ,1,,,,,,,,,,1,,,N
3,830,0,4:55:44,XV,22,"David Baldwin, Julie Quinn",ASCM ATCM,,,,,,,,2,1,,,,,N
4,780,0,5:01:14,MY,84,"Ryan Stocks, David Stocks",ARCR ASCR,2,,,,,,,,,,2,,,N
5,760,0,4:50:32,MY,46,"Tommi Silvester, Jusuf Putrawan, Noah Baldwin",AQCO ARCO,3,,,,,,,,,,3,,,Y
6,730,0,4:51:01,WV,118,"Chelsea Holton, Erica Collins, Rebecca Sorensen",AKCU ALCU,,,,1,1,,,,,,,,,N
7,700,0,4:56:07,X,48,"Saskia Junge, Xavier Madden, Robin Briggen",AUCO AVCO,,,,,,,,3,,,,,,N
8,690,0,4:52:56,XY,60,"Samantha Williams, Nicholas Mahoney, Harry Wu, Louis Thivierge",ATCP AUCP,,,,,,,,4,,,,,1,N
9,690,0,4:53:07,XY,62,"Alex Bako, Kyle Petrusa",AXCP AYCP,,,,,,,,5,,,,,2,N
10,690,0,4:53:12,XY,99,"Damon Reynolds, Gabby Kanizay, Henry Brigstocke",AWCS AXCS,,,,,,,,6,,,,,3,N
11,680,0,4:55:00,X,61,"Lily Adams, Lisa Cary, Lynn Tang, Cian Finn",AVCP AWCP,,,,,,,,7,,,,,,N
12,680,0,4:55:53,XY,25,"Stephen Phillips, Nicholas Boffa, Ava Hookway",AYCM AZCM,,,,,,,,8,,,,,4,N
13,660,0,4:46:51,"X,F",11,"Jasmine Elson, Leo Mottershead",AVCL AWCL,,,,,,,,9,,1,,,,N
14,660,0,4:47:11,XY,51,"James Harris, Cohen Saunders",AACP ABCP,,,,,,,,10,,,,,5,N
15,660,0,4:55:38,X,106,"Oscar Woolford, Maxine Wu, Sarah Hamilton",ALCT AMCT,,,,,,,,11,,,,,,N
16,650,0,4:46:27,MY,67,"Jacob Gome, Felix Archibald, Blaize Steele",AHCQ AJCQ,4,,,,,,,,,,4,,,N
17,650,0,4:55:54,XY,23,"Molly Sharrock, Owen Chenhall, Toby Kitchen",AUCM AVCM,,,,,,,,12,,,,,6,N
18,630,0,4:41:27,X,109,"Orietta Fitzsimmons, Mitchell Anderson, Jess Lowry",ARCT ASCT,,,,,,,,13,,,,,,N
19,630,0,4:49:13,XY,127,"Zoe O'dwyer, Alicia Fox, Daniel Martin",ACCV ADCV,,,,,,,,14,,,,,7,N
20,630,0,4:53:05,MV,6,"Andrew Harmer, David Jenkins",ALCL AMCL,5,1,,,,,,,,,,,,N
21,620,0,4:59:23,MY,75,"Adam Jubb, Jack Richardson",AYCQ AZCQ,6,,,,,,,,,,5,,,Y
22,610,0,4:55:28,XY,52,"Conor Ammett, Hazel Dortch, Oliver James",ACCP ADCP,,,,,,,,15,,,,,8,N
23,600,0,4:51:31,XY,94,"Olivia Roulstone, Tom Skeffington, Eilif Storaunet Sandvik, Tilly Wenck",AMCS ANCS,,,,,,,,16,,,,,9,N
24,570,0,4:25:37,X,47,"Phoebe Lines, Frendo Allsop, Emil Hasche, Samuel Ostrowski",ASCO ATCO,,,,,,,,17,,,,,,N
25,570,0,4:32:12,MS,29,"Jon Glanville, Graham Atkins, Stephen Goggs",AGCN AHCN,7,2,1,,,,,,,,,,,N
26,570,0,4:46:48,MY,103,"Will Rankin, Samuel Macrae, Hayden Mendoza",AECT AFCT,8,,,,,,,,,,6,,,N
27,570,0,5:03:22,M,116,"Maxwell Hoare, James Klok, Matthew Foster, Ari Duchen",AFCU AGCU,9,,,,,,,,,,,,,N
28,560,0,4:46:21,XY,9,"Gypsy Cook, Darcy Gay, August Brey",ARCL ASCL,,,,,,,,18,,,,,10,N
29,560,0,4:53:22,M,8,"Lachlan Obaydin, Hayden Green",APCL AQCL,10,,,,,,,,,,,,,N
30,560,0,4:59:59,M,112,"Tim Lindley, Ryan Leonard",AXCT AYCT,11,,,,,,,,,,,,,N
31,540,0,4:26:34,XV,20,"Greg Terrill, Silke Speier",AOCM APCM,,,,,,,,19,2,,,,,N
32,540,0,4:40:34,WY,66,"Isabella Lilford, Emily Scolyer, Mairead O'connell-Lacy",AFCQ AGCQ,,,,2,,,,,,,,1,,N
33,540,0,4:55:56,XY,96,"Nicholas Stratton, Lizzy Drennan, William Smith",AQCS ARCS,,,,,,,,20,,,,,11,N
34,530,0,4:54:06,XY,91,"Hugh Ritchie, Olivia Vigneault, Ed Mackinnon, Ruby Selikowitz",AFCS AGCS,,,,,,,,21,,,,,12,N
35,530,0,4:56:44,MY,105,"Mesake Taulawakeiaho, Oscar Joyce Thomson",AJCT AKCT,12,,,,,,,,,,7,,,N
36,530,0,4:56:47,WY,104,"Hannah Lovlin, Flora Munro",AGCT AHCT,,,,3,,,,,,,,2,,N
37,530,0,4:59:15,MY,92,"Kelvin Meng, Toby Lang",AHCS AJCS,13,,,,,,,,,,8,,,N
38,520,0,4:46:25,MY,68,"Hadyn Tang, Oliver Stephens",AKCQ ALCQ,14,,,,,,,,,,9,,,N
39,520,0,4:54:50,X,117,"Emma Summerhayes, Rebekah Stuart, Anthony Newman",AHCU AJCU,,,,,,,,22,,,,,,N
40,520,0,5:00:43,W,40,"Trish Kelly, Melissa Mctegg, Jess Harkness, Ange Crisp",ADCO AECO,,,,4,,,,,,,,,,N
41,510,0,4:56:04,XY,35,"Mirah Larkin, Meg Rankin, Mia Oberin, Corbin Ellis",ATCN AUCN,,,,,,,,23,,,,,13,N
42,510,0,5:01:40,X,87,"Ben Grace, Lauren Murphy, Thomas Derwent, Ethan Chan",AXCR AYCR,,,,,,,,24,,,,,,N
43,500,0,4:54:44,XY,128,"Rozie Higgs, Scout Higgins, Tom Plaisted",AECV AFCV,,,,,,,,25,,,,,14,N
44,490,0,4:47:42,WY,122,"Abby Kidston, Lara Thurgood",ASCU ATCU,,,,5,,,,,,,,3,,N
45,490,0,4:54:40,XY,89,"Emily Barrelle, Scout Hollyman, Sophie Halliday, Jacob Bos",ABCS ACCS,,,,,,,,26,,,,,15,N
46,490,0,5:03:59,XY,90,"Kai Saalmann, Lucy West, Hugo Bennett",ADCS AECS,,,,,,,,27,,,,,16,N
47,480,0,4:53:14,MY,95,"Archie Grainger, Archie Allen, Oliver Ell",AOCS APCS,15,,,,,,,,,,10,,,N
48,480,0,5:03:32,"X,F",37,"Leanne Wilkinson, Ross Wilkinson",AXCN AYCN,,,,,,,,28,,2,,,,N
49,470,0,4:56:08,XY,56,"Patrick O'connor, Kirsten Frykberg, Eloise Wilson",ALCP AMCP,,,,,,,,29,,,,,17,N
50,460,0,4:39:05,WY,69,"Hannah Stewart, Gracie Danielson, Annabel Maple-Brown, Esther Bornstein",AMCQ ANCQ,,,,6,,,,,,,,4,,N
51,450,0,4:51:47,WS,10,"Pat Miethke, Elizabeth Dunbar",ATCL AUCL,,,,7,2,1,,,,,,,,N
52,420,0,5:09:42,MY,83,"Samuel Garbellini, Callum Weppler, Martin Duong",APCR AQCR,16,,,,,,,,,,11,,,N
53,390,0,4:44:22,X,123,"Michael Thompson, Andrew What Son?, Tracey Mcbeam, Kat Dawg",AUCU AVCU,,,,,,,,30,,,,,,N
54,390,0,4:54:16,XY,81,"Tara Helly, Molly Newton, Jolly Harrison Murray",ALCR AMCR,,,,,,,,31,,,,,18,N
55,390,0,4:54:17,WY,80,"Tamsin Gardner, Clare Crawford",AJCR AKCR,,,,8,,,,,,,,5,,N
56,380,0,4:50:16,M,14,"Lachlan Jones, Mohak Garg",ABCM ACCM,17,,,,,,,,,,,,,N
57,350,0,4:54:52,WY,93,"Nina Manning, Rosie Bray, Ellie Shuetrim",AKCS ALCS,,,,9,,,,,,,,6,,N
58,350,0,5:04:42,X,26,"Martin Boyd, Tayah Boyd",AACN ABCN,,,,,,,,32,,,,,,N
59,330,0,5:17:11,MV,129,"Greg Jolley, Ticklish Tim",AGCV AHCV,18,3,,,,,,,,,,,,N
60,300,0,4:55:15,X,72,"Ranit Bose, Cormac Kikkert, Max Williams, Ann Wang, Alex Harrison",ASCQ ATCQ,,,,,,,,33,,,,,,N
61,230,0,4:51:40,XY,77,"Adam Glanville, Pia Cunningham, Lucaya Rich, Theo Harkin",ACCR ADCR,,,,,,,,34,,,,,19,N
62,210,0,5:23:15,XY,86,"Ben Nolan, Armand Clocheret, Ella Fitzpatrick, Oliver Payne",AVCR AWCR,,,,,,,,35,,,,,20,N
63,90,0,4:29:05,XY,97,"Noemie Ah Chong, Samuel Ingloff-Richards, Lachlan Plew",ASCS ATCS,,,,,,,,36,,,,,21,N
